Geneid	SRR10440857	SRR10440859	SRR10440860	SRR10440861	SRR11357867	SRR11357868	SRR11357869	SRR11357870
ENSG00000009335.19	3000	1254	1372	2115	3897	2545	2575	1916
ENSG00000009413.17	211	1437	621	1159	2549	1760	1442	1064
ENSG00000009694.14	37	784	52	38	135	159	26	199
ENSG00000009709.13	0	141	14	61	0	0	0	0
ENSG00000009724.18	34	136	26	81	85	281	48	106
ENSG00000009765.15	0	458	170	75	61	61	132	67
ENSG00000009780.16	244	384	296	343	573	654	295	518
ENSG00000009790.15	290	760	122	839	439	685	238	644
ENSG00000009830.13	1027	1741	940	659	567	627	387	577
ENSG00000009844.16	935	1341	941	1338	1232	1664	891	984
ENSG00000009950.16	95	304	304	125	257	56	193	312
ENSG00000009954.11	1593	1808	1538	2776	3457	3131	2567	2266
ENSG00000010017.13	1288	1811	1313	1863	1939	1289	1290	1258
ENSG00000010030.14	450	259	98	469	227	149	268	420
ENSG00000010072.16	364	341	339	564	375	333	266	207
ENSG00000010165.20	1213	1061	797	1242	962	1255	679	816
ENSG00000010219.14	1193	436	312	757	428	883	274	540
ENSG00000010244.19	2925	5061	3013	4134	3009	5058	2013	3723
ENSG00000010256.12	4892	2726	2456	2570	3112	3779	2413	3091
ENSG00000010270.14	822	1112	2517	1414	1945	1624	1448	1599
ENSG00000010278.15	13074	4221	3809	7322	10950	11259	10121	11024
ENSG00000010282.15	0	4	134	128	3	11	24	20
ENSG00000010292.13	3624	834	1187	1142	1000	739	679	556
ENSG00000010295.20	991	793	338	782	1289	2595	408	1955
ENSG00000010310.9	192	158	134	323	111	162	244	347
ENSG00000010318.22	117	167	59	103	169	238	123	161
ENSG00000010319.7	508	238	100	81	1664	4883	737	2848
ENSG00000010322.16	4376	3489	1713	2172	4028	6570	3025	5044
ENSG00000010327.10	8055	3473	2475	4779	8289	5691	1249	4811
ENSG00000010361.14	430	352	585	236	472	532	660	495
ENSG00000010379.16	12	3	3	4	38	44	19	40
ENSG00000010404.18	393	455	994	925	1126	375	713	415
ENSG00000010438.17	2	9	16	17	5	1	0	0
ENSG00000010539.12	244	345	356	364	287	375	181	312
ENSG00000010610.10	2405	3969	2548	5843	5886	5146	3153	4360
ENSG00000010626.15	393	153	67	147	232	429	1108	539
ENSG00000010671.18	315	711	325	1073	1184	1094	748	988
